python_expression,natural_language
((26 - 30) * (45 + 29) + 12) - (16 + 24 + 23),"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then subtract the sum of 16, 24, and 23."
((26 - 30) * (45 + 29) + 12) * 3,"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then multiply that by 3."
((26 - 30) * (45 + 29) + 12) - (48 + 41),"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then subtract the sum of 48 and 41."
((26 - 30) * (45 + 29) + 12) - (47 + 30),"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then subtract the sum of 47 and 30."
((26 - 30) * (45 + 29) + 12) * 10,"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then multiply that by 10."
((26 - 30) * (45 + 29) + 12) * 11,"subtract 30 from 26, add 45 and 29, multiply the two results, then add 12, then multiply that by 11."
(43 * (14 + 48)) - 7,"add 14 and 48, multiply that by 43, then subtract 7."
((43 * (14 + 48)) - 7) + (23 - 45),"add 14 and 48, multiply that by 43, then subtract 7, then add the difference of 23 and 45)."
((43 * (14 + 48)) - 7) - (37 + 26),"add 14 and 48, multiply that by 43, then subtract 7, then subtract the sum of 37 and 26."
((43 * (14 + 48)) - 7) * (9 * 7),"add 14 and 48, multiply that by 43, then subtract 7, then multiply that by the product of 9 and 7."
((43 * (14 + 48)) - 7) - (28 + 16 + 26),"add 14 and 48, multiply that by 43, then subtract 7, then subtract the sum of 28, 16, and 26."
((43 * (14 + 48)) - 7) * (9 * 4),"add 14 and 48, multiply that by 43, then subtract 7, then multiply that by the product of 9 and 4."
((43 * (14 + 48)) - 7) * (15 + 20),"add 14 and 48, multiply that by 43, then subtract 7, then multiply that by the sum of 15 and 20."
((43 * (14 + 48)) - 7) - 28,"add 14 and 48, multiply that by 43, then subtract 7, then subtract 28."
((43 * (14 + 48)) - 7) + (10 - 40),"add 14 and 48, multiply that by 43, then subtract 7, then add the difference of 10 and 40)."
((43 * (14 + 48)) - 7) - (22 + 2 + 8),"add 14 and 48, multiply that by 43, then subtract 7, then subtract the sum of 22, 2, and 8."
(20 * (5 - 41)) + 32,"subtract 41 from 5, multiply that by 20, then add 32."
((20 * (5 - 41)) + 32) - (15 - 11),"subtract 41 from 5, multiply that by 20, then add 32, then subtract the difference of 15 and 11."
((20 * (5 - 41)) + 32) + (45 + 45),"subtract 41 from 5, multiply that by 20, then add 32, then add the sum of 45 and 45."
((20 * (5 - 41)) + 32) - (37 - 50),"subtract 41 from 5, multiply that by 20, then add 32, then subtract the difference of 37 and 50."
((20 * (5 - 41)) + 32) * (18 + 13),"subtract 41 from 5, multiply that by 20, then add 32, then multiply that by the sum of 18 and 13."
((20 * (5 - 41)) + 32) * 5,"subtract 41 from 5, multiply that by 20, then add 32, then multiply that by 5."
((20 * (5 - 41)) + 32) + (50 - 28),"subtract 41 from 5, multiply that by 20, then add 32, then add the difference of 50 and 28)."
((20 * (5 - 41)) + 32) - (26 - 22),"subtract 41 from 5, multiply that by 20, then add 32, then subtract the difference of 26 and 22."
((20 * (5 - 41)) + 32) + (34 + 28),"subtract 41 from 5, multiply that by 20, then add 32, then add the sum of 34 and 28."
((20 * (5 - 41)) + 32) + (8 - 14),"subtract 41 from 5, multiply that by 20, then add 32, then add the difference of 8 and 14)."
((15 + 34) * (15 + 44)),"add 15 and 34, add 15 and 44, then multiply the two results."
(((15 + 34) * (15 + 44))) + (6 * 11),"add 15 and 34, add 15 and 44, then multiply the two results, then add the product of 6 and 11."
(((15 + 34) * (15 + 44))) - (36 - 26),"add 15 and 34, add 15 and 44, then multiply the two results, then subtract the difference of 36 and 26."
(((15 + 34) * (15 + 44))) + (2 + 8 + 3),"add 15 and 34, add 15 and 44, then multiply the two results, then add the sum of 2, 8, and 3."
(((15 + 34) * (15 + 44))) * (12 + 11),"add 15 and 34, add 15 and 44, then multiply the two results, then multiply that by the sum of 12 and 11."
(((15 + 34) * (15 + 44))) + (12 * 4),"add 15 and 34, add 15 and 44, then multiply the two results, then add the product of 12 and 4."
(((15 + 34) * (15 + 44))) - (6 * 8),"add 15 and 34, add 15 and 44, then multiply the two results, then subtract the product of 6 and 8."
(((15 + 34) * (15 + 44))) * (4 * 4),"add 15 and 34, add 15 and 44, then multiply the two results, then multiply that by the product of 4 and 4."
(((15 + 34) * (15 + 44))) - (11 * 12),"add 15 and 34, add 15 and 44, then multiply the two results, then subtract the product of 11 and 12."
(((15 + 34) * (15 + 44))) + 31,"add 15 and 34, add 15 and 44, then multiply the two results, then add 31."
21 * (10 + 30 + 40) - 9,"add 10, 30, and 40, multiply that by 21, then subtract 9."
(21 * (10 + 30 + 40) - 9) - (16 - 45),"add 10, 30, and 40, multiply that by 21, then subtract 9, then subtract the difference of 16 and 45."
(21 * (10 + 30 + 40) - 9) - (50 + 41),"add 10, 30, and 40, multiply that by 21, then subtract 9, then subtract the sum of 50 and 41."
(21 * (10 + 30 + 40) - 9) - (21 - 10),"add 10, 30, and 40, multiply that by 21, then subtract 9, then subtract the difference of 21 and 10."
(21 * (10 + 30 + 40) - 9) + (9 + 27),"add 10, 30, and 40, multiply that by 21, then subtract 9, then add the sum of 9 and 27."
(21 * (10 + 30 + 40) - 9) + (6 + 29),"add 10, 30, and 40, multiply that by 21, then subtract 9, then add the sum of 6 and 29."
(21 * (10 + 30 + 40) - 9) - (19 - 49),"add 10, 30, and 40, multiply that by 21, then subtract 9, then subtract the difference of 19 and 49."
(21 * (10 + 30 + 40) - 9) + (21 + 36),"add 10, 30, and 40, multiply that by 21, then subtract 9, then add the sum of 21 and 36."
(21 * (10 + 30 + 40) - 9) + (34 - 26),"add 10, 30, and 40, multiply that by 21, then subtract 9, then add the difference of 34 and 26)."
(21 * (10 + 30 + 40) - 9) * 2,"add 10, 30, and 40, multiply that by 21, then subtract 9, then multiply that by 2."
(41 * (48 - 47)) + 50,"subtract 47 from 48, multiply that by 41, then add 50."
((41 * (48 - 47)) + 50) * (18 + 20),"subtract 47 from 48, multiply that by 41, then add 50, then multiply that by the sum of 18 and 20."
((41 * (48 - 47)) + 50) - (3 * 9),"subtract 47 from 48, multiply that by 41, then add 50, then subtract the product of 3 and 9."
((41 * (48 - 47)) + 50) * 12,"subtract 47 from 48, multiply that by 41, then add 50, then multiply that by 12."
((41 * (48 - 47)) + 50) * (10 * 4),"subtract 47 from 48, multiply that by 41, then add 50, then multiply that by the product of 10 and 4."
((41 * (48 - 47)) + 50) - (8 * 2),"subtract 47 from 48, multiply that by 41, then add 50, then subtract the product of 8 and 2."
((41 * (48 - 47)) + 50) * (2 * 6),"subtract 47 from 48, multiply that by 41, then add 50, then multiply that by the product of 2 and 6."
((41 * (48 - 47)) + 50) + (7 * 12),"subtract 47 from 48, multiply that by 41, then add 50, then add the product of 7 and 12."
((41 * (48 - 47)) + 50) + (12 + 26 + 4),"subtract 47 from 48, multiply that by 41, then add 50, then add the sum of 12, 26, and 4."
((41 * (48 - 47)) + 50) + (18 + 24),"subtract 47 from 48, multiply that by 41, then add 50, then add the sum of 18 and 24."
(46 - 46) * (39 + 31) + 19,"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19."
((46 - 46) * (39 + 31) + 19) - (12 + 12),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then subtract the sum of 12 and 12."
((46 - 46) * (39 + 31) + 19) - (39 - 16),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then subtract the difference of 39 and 16."
((46 - 46) * (39 + 31) + 19) * 6,"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then multiply that by 6."
((46 - 46) * (39 + 31) + 19) - (44 - 33),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then subtract the difference of 44 and 33."
((46 - 46) * (39 + 31) + 19) - (9 * 4),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then subtract the product of 9 and 4."
((46 - 46) * (39 + 31) + 19) + 47,"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then add 47."
((46 - 46) * (39 + 31) + 19) + (2 * 7),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then add the product of 2 and 7."
((46 - 46) * (39 + 31) + 19) - 15,"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then subtract 15."
((46 - 46) * (39 + 31) + 19) + (50 - 3),"subtract 46 from 46, add 39 and 31, multiply the two results, then add 19, then add the difference of 50 and 3)."
15 * (50 + 40) + 44,"add 50 and 40, multiply that by 15, then add 44."
(15 * (50 + 40) + 44) * 6,"add 50 and 40, multiply that by 15, then add 44, then multiply that by 6."
(15 * (50 + 40) + 44) - (24 + 3 + 9),"add 50 and 40, multiply that by 15, then add 44, then subtract the sum of 24, 3, and 9."
(15 * (50 + 40) + 44) * (2 * 3),"add 50 and 40, multiply that by 15, then add 44, then multiply that by the product of 2 and 3."
(15 * (50 + 40) + 44) - (5 - 12),"add 50 and 40, multiply that by 15, then add 44, then subtract the difference of 5 and 12."
(15 * (50 + 40) + 44) - (2 + 17 + 21),"add 50 and 40, multiply that by 15, then add 44, then subtract the sum of 2, 17, and 21."
(15 * (50 + 40) + 44) * 4,"add 50 and 40, multiply that by 15, then add 44, then multiply that by 4."
(15 * (50 + 40) + 44) - (21 + 14),"add 50 and 40, multiply that by 15, then add 44, then subtract the sum of 21 and 14."
(15 * (50 + 40) + 44) + (10 * 3),"add 50 and 40, multiply that by 15, then add 44, then add the product of 10 and 3."
(15 * (50 + 40) + 44) + (24 - 4),"add 50 and 40, multiply that by 15, then add 44, then add the difference of 24 and 4)."
(1 + (1 * 15)) - 44,"multiply 1 by 15, add 1 to that, then subtract 44."
((1 + (1 * 15)) - 44) + (11 * 3),"multiply 1 by 15, add 1 to that, then subtract 44, then add the product of 11 and 3."
((1 + (1 * 15)) - 44) + 23,"multiply 1 by 15, add 1 to that, then subtract 44, then add 23."
((1 + (1 * 15)) - 44) - (18 + 32),"multiply 1 by 15, add 1 to that, then subtract 44, then subtract the sum of 18 and 32."
((1 + (1 * 15)) - 44) * 4,"multiply 1 by 15, add 1 to that, then subtract 44, then multiply that by 4."
((1 + (1 * 15)) - 44) * (6 * 9),"multiply 1 by 15, add 1 to that, then subtract 44, then multiply that by the product of 6 and 9."
((1 + (1 * 15)) - 44) + (5 + 4 + 16),"multiply 1 by 15, add 1 to that, then subtract 44, then add the sum of 5, 4, and 16."
((1 + (1 * 15)) - 44) + (6 * 4),"multiply 1 by 15, add 1 to that, then subtract 44, then add the product of 6 and 4."
((1 + (1 * 15)) - 44) - (23 + 7),"multiply 1 by 15, add 1 to that, then subtract 44, then subtract the sum of 23 and 7."
((1 + (1 * 15)) - 44) - (24 + 23),"multiply 1 by 15, add 1 to that, then subtract 44, then subtract the sum of 24 and 23."
((40 - 28) * (5 - 41)),"take 40 minus 28, take 5 minus 41, then multiply the two results."
(((40 - 28) * (5 - 41))) - (2 * 4),"take 40 minus 28, take 5 minus 41, then multiply the two results, then subtract the product of 2 and 4."
(((40 - 28) * (5 - 41))) * 11,"take 40 minus 28, take 5 minus 41, then multiply the two results, then multiply that by 11."
(((40 - 28) * (5 - 41))) - (2 * 6),"take 40 minus 28, take 5 minus 41, then multiply the two results, then subtract the product of 2 and 6."
(((40 - 28) * (5 - 41))) + 28,"take 40 minus 28, take 5 minus 41, then multiply the two results, then add 28."
(((40 - 28) * (5 - 41))) + (5 * 8),"take 40 minus 28, take 5 minus 41, then multiply the two results, then add the product of 5 and 8."
(((40 - 28) * (5 - 41))) - (42 + 15),"take 40 minus 28, take 5 minus 41, then multiply the two results, then subtract the sum of 42 and 15."
(((40 - 28) * (5 - 41))) * 9,"take 40 minus 28, take 5 minus 41, then multiply the two results, then multiply that by 9."
(((40 - 28) * (5 - 41))) - (26 + 9 + 12),"take 40 minus 28, take 5 minus 41, then multiply the two results, then subtract the sum of 26, 9, and 12."
(((40 - 28) * (5 - 41))) - (2 * 2),"take 40 minus 28, take 5 minus 41, then multiply the two results, then subtract the product of 2 and 2."
(7 + 4) * (50 + 1) - 42,"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42."
((7 + 4) * (50 + 1) - 42) + (28 + 32),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then add the sum of 28 and 32."
((7 + 4) * (50 + 1) - 42) - (9 + 12 + 22),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then subtract the sum of 9, 12, and 22."
((7 + 4) * (50 + 1) - 42) + (23 + 47),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then add the sum of 23 and 47."
((7 + 4) * (50 + 1) - 42) - (29 + 10 + 20),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then subtract the sum of 29, 10, and 20."
((7 + 4) * (50 + 1) - 42) - (26 + 21),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then subtract the sum of 26 and 21."
((7 + 4) * (50 + 1) - 42) * 3,"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then multiply that by 3."
((7 + 4) * (50 + 1) - 42) * (8 * 2),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then multiply that by the product of 8 and 2."
((7 + 4) * (50 + 1) - 42) - (6 * 10),"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then subtract the product of 6 and 10."
((7 + 4) * (50 + 1) - 42) - 44,"add 7 and 4, add 50 and 1, multiply the sums, then subtract 42, then subtract 44."
(4 * 20 * 4) + 20,"multiply 4, 20, and 4 together, then add 20."
((4 * 20 * 4) + 20) - 36,"multiply 4, 20, and 4 together, then add 20, then subtract 36."
((4 * 20 * 4) + 20) + (17 - 12),"multiply 4, 20, and 4 together, then add 20, then add the difference of 17 and 12)."
((4 * 20 * 4) + 20) + (11 * 7),"multiply 4, 20, and 4 together, then add 20, then add the product of 11 and 7."
((4 * 20 * 4) + 20) + (39 - 40),"multiply 4, 20, and 4 together, then add 20, then add the difference of 39 and 40)."
((4 * 20 * 4) + 20) + (2 + 15 + 16),"multiply 4, 20, and 4 together, then add 20, then add the sum of 2, 15, and 16."
((4 * 20 * 4) + 20) + (5 + 23 + 7),"multiply 4, 20, and 4 together, then add 20, then add the sum of 5, 23, and 7."
((4 * 20 * 4) + 20) * (3 + 9),"multiply 4, 20, and 4 together, then add 20, then multiply that by the sum of 3 and 9."
((4 * 20 * 4) + 20) - (36 - 17),"multiply 4, 20, and 4 together, then add 20, then subtract the difference of 36 and 17."
((4 * 20 * 4) + 20) * (4 * 9),"multiply 4, 20, and 4 together, then add 20, then multiply that by the product of 4 and 9."
(23 + 19) * 36 - (19 + 26),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26."
((23 + 19) * 36 - (19 + 26)) + (3 * 6),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then add the product of 3 and 6."
((23 + 19) * 36 - (19 + 26)) + (44 - 13),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then add the difference of 44 and 13)."
((23 + 19) * 36 - (19 + 26)) * (5 + 20),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then multiply that by the sum of 5 and 20."
((23 + 19) * 36 - (19 + 26)) - (38 - 9),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then subtract the difference of 38 and 9."
((23 + 19) * 36 - (19 + 26)) + (19 + 19 + 19),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then add the sum of 19, 19, and 19."
((23 + 19) * 36 - (19 + 26)) * (6 + 18),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then multiply that by the sum of 6 and 18."
((23 + 19) * 36 - (19 + 26)) + (13 + 26 + 18),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then add the sum of 13, 26, and 18."
((23 + 19) * 36 - (19 + 26)) * (7 * 10),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then multiply that by the product of 7 and 10."
((23 + 19) * 36 - (19 + 26)) - (3 * 4),"add 23 and 19, multiply that by 36, then subtract the sum of 19 and 26, then subtract the product of 3 and 4."
((10 - 46) * (10 - 50)),"take 10 minus 46, take 10 minus 50, then multiply the two results."
(((10 - 46) * (10 - 50))) + (9 * 5),"take 10 minus 46, take 10 minus 50, then multiply the two results, then add the product of 9 and 5."
(((10 - 46) * (10 - 50))) - (9 * 12),"take 10 minus 46, take 10 minus 50, then multiply the two results, then subtract the product of 9 and 12."
(((10 - 46) * (10 - 50))) * (2 * 2),"take 10 minus 46, take 10 minus 50, then multiply the two results, then multiply that by the product of 2 and 2."
(((10 - 46) * (10 - 50))) * 12,"take 10 minus 46, take 10 minus 50, then multiply the two results, then multiply that by 12."
(((10 - 46) * (10 - 50))) - (4 * 10),"take 10 minus 46, take 10 minus 50, then multiply the two results, then subtract the product of 4 and 10."
(((10 - 46) * (10 - 50))) - (20 + 15 + 7),"take 10 minus 46, take 10 minus 50, then multiply the two results, then subtract the sum of 20, 15, and 7."
(((10 - 46) * (10 - 50))) + (14 + 4 + 10),"take 10 minus 46, take 10 minus 50, then multiply the two results, then add the sum of 14, 4, and 10."
(((10 - 46) * (10 - 50))) + (11 + 44),"take 10 minus 46, take 10 minus 50, then multiply the two results, then add the sum of 11 and 44."
(((10 - 46) * (10 - 50))) + (47 + 31),"take 10 minus 46, take 10 minus 50, then multiply the two results, then add the sum of 47 and 31."
(38 * 45) - (5 + 33),"multiply 38 by 45, then subtract the sum of 5 and 33."
((38 * 45) - (5 + 33)) * 9,"multiply 38 by 45, then subtract the sum of 5 and 33, then multiply that by 9."
((38 * 45) - (5 + 33)) - (16 - 4),"multiply 38 by 45, then subtract the sum of 5 and 33, then subtract the difference of 16 and 4."
((38 * 45) - (5 + 33)) + (8 + 22 + 3),"multiply 38 by 45, then subtract the sum of 5 and 33, then add the sum of 8, 22, and 3."
((38 * 45) - (5 + 33)) - (4 + 37),"multiply 38 by 45, then subtract the sum of 5 and 33, then subtract the sum of 4 and 37."
((38 * 45) - (5 + 33)) + 25,"multiply 38 by 45, then subtract the sum of 5 and 33, then add 25."
((38 * 45) - (5 + 33)) * (5 * 9),"multiply 38 by 45, then subtract the sum of 5 and 33, then multiply that by the product of 5 and 9."
((38 * 45) - (5 + 33)) * (5 * 3),"multiply 38 by 45, then subtract the sum of 5 and 33, then multiply that by the product of 5 and 3."
((38 * 45) - (5 + 33)) + (6 * 5),"multiply 38 by 45, then subtract the sum of 5 and 33, then add the product of 6 and 5."
((38 * 45) - (5 + 33)) + (12 + 8),"multiply 38 by 45, then subtract the sum of 5 and 33, then add the sum of 12 and 8."
(50 + 10) * (49 - 5) + 12,"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12."
((50 + 10) * (49 - 5) + 12) - (15 + 13 + 27),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then subtract the sum of 15, 13, and 27."
((50 + 10) * (49 - 5) + 12) + (31 - 21),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add the difference of 31 and 21)."
((50 + 10) * (49 - 5) + 12) - (11 + 5),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then subtract the sum of 11 and 5."
((50 + 10) * (49 - 5) + 12) + (22 + 25 + 20),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add the sum of 22, 25, and 20."
((50 + 10) * (49 - 5) + 12) - (46 - 43),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then subtract the difference of 46 and 43."
((50 + 10) * (49 - 5) + 12) + 36,"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add 36."
((50 + 10) * (49 - 5) + 12) + (6 - 29),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add the difference of 6 and 29)."
((50 + 10) * (49 - 5) + 12) + (9 * 12),"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add the product of 9 and 12."
((50 + 10) * (49 - 5) + 12) + 28,"add 50 and 10, subtract 5 from 49, multiply the two results, then add 12, then add 28."
49 * (25 + 47) + 10,"add 25 and 47, multiply that by 49, then add 10."
(49 * (25 + 47) + 10) - (27 + 12),"add 25 and 47, multiply that by 49, then add 10, then subtract the sum of 27 and 12."
(49 * (25 + 47) + 10) + (30 + 4),"add 25 and 47, multiply that by 49, then add 10, then add the sum of 30 and 4."
(49 * (25 + 47) + 10) - 46,"add 25 and 47, multiply that by 49, then add 10, then subtract 46."
(49 * (25 + 47) + 10) * 12,"add 25 and 47, multiply that by 49, then add 10, then multiply that by 12."
(49 * (25 + 47) + 10) * (6 * 9),"add 25 and 47, multiply that by 49, then add 10, then multiply that by the product of 6 and 9."
(49 * (25 + 47) + 10) + (50 - 24),"add 25 and 47, multiply that by 49, then add 10, then add the difference of 50 and 24)."
(49 * (25 + 47) + 10) * (11 + 4),"add 25 and 47, multiply that by 49, then add 10, then multiply that by the sum of 11 and 4."
(49 * (25 + 47) + 10) - (16 - 38),"add 25 and 47, multiply that by 49, then add 10, then subtract the difference of 16 and 38."
(49 * (25 + 47) + 10) - (24 + 20 + 19),"add 25 and 47, multiply that by 49, then add 10, then subtract the sum of 24, 20, and 19."
18 * 5 * 28 - 7 + 30,"multiply 18, 5, and 28 together, then subtract 7, then add 30."
(18 * 5 * 28 - 7 + 30) - (8 * 7),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then subtract the product of 8 and 7."
(18 * 5 * 28 - 7 + 30) - (44 + 27),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then subtract the sum of 44 and 27."
(18 * 5 * 28 - 7 + 30) * 8,"multiply 18, 5, and 28 together, then subtract 7, then add 30, then multiply that by 8."
(18 * 5 * 28 - 7 + 30) * (14 + 11),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then multiply that by the sum of 14 and 11."
(18 * 5 * 28 - 7 + 30) + (44 + 21),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then add the sum of 44 and 21."
(18 * 5 * 28 - 7 + 30) + (27 + 8 + 24),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then add the sum of 27, 8, and 24."
(18 * 5 * 28 - 7 + 30) + 12,"multiply 18, 5, and 28 together, then subtract 7, then add 30, then add 12."
(18 * 5 * 28 - 7 + 30) + 24,"multiply 18, 5, and 28 together, then subtract 7, then add 30, then add 24."
(18 * 5 * 28 - 7 + 30) - (10 * 4),"multiply 18, 5, and 28 together, then subtract 7, then add 30, then subtract the product of 10 and 4."
(46 + 20) + (31 * 43) - 14,"add 46 and 20, multiply 31 by 43, add the results, then subtract 14."
((46 + 20) + (31 * 43) - 14) - (15 - 36),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract the difference of 15 and 36."
((46 + 20) + (31 * 43) - 14) - (27 - 14),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract the difference of 27 and 14."
((46 + 20) + (31 * 43) - 14) + 8,"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then add 8."
((46 + 20) + (31 * 43) - 14) - 47,"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract 47."
((46 + 20) + (31 * 43) - 14) + (8 + 5 + 3),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then add the sum of 8, 5, and 3."
((46 + 20) + (31 * 43) - 14) - (6 * 11),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract the product of 6 and 11."
((46 + 20) + (31 * 43) - 14) - (21 + 6 + 6),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract the sum of 21, 6, and 6."
((46 + 20) + (31 * 43) - 14) - (30 + 6 + 21),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then subtract the sum of 30, 6, and 21."
((46 + 20) + (31 * 43) - 14) + (24 + 32),"add 46 and 20, multiply 31 by 43, add the results, then subtract 14, then add the sum of 24 and 32."
((31 - 42) * (13 - 14)),"take 31 minus 42, take 13 minus 14, then multiply the two results."
(((31 - 42) * (13 - 14))) + (37 - 30),"take 31 minus 42, take 13 minus 14, then multiply the two results, then add the difference of 37 and 30)."
(((31 - 42) * (13 - 14))) + (9 * 7),"take 31 minus 42, take 13 minus 14, then multiply the two results, then add the product of 9 and 7."
(((31 - 42) * (13 - 14))) * 12,"take 31 minus 42, take 13 minus 14, then multiply the two results, then multiply that by 12."
(((31 - 42) * (13 - 14))) - (17 + 25),"take 31 minus 42, take 13 minus 14, then multiply the two results, then subtract the sum of 17 and 25."
(((31 - 42) * (13 - 14))) * (2 * 9),"take 31 minus 42, take 13 minus 14, then multiply the two results, then multiply that by the product of 2 and 9."
(((31 - 42) * (13 - 14))) + (13 + 41),"take 31 minus 42, take 13 minus 14, then multiply the two results, then add the sum of 13 and 41."
(((31 - 42) * (13 - 14))) - (3 * 10),"take 31 minus 42, take 13 minus 14, then multiply the two results, then subtract the product of 3 and 10."
(((31 - 42) * (13 - 14))) + 40,"take 31 minus 42, take 13 minus 14, then multiply the two results, then add 40."
(((31 - 42) * (13 - 14))) - (28 + 4 + 5),"take 31 minus 42, take 13 minus 14, then multiply the two results, then subtract the sum of 28, 4, and 5."
(45 * 7) - (4 + 23),"multiply 45 by 7, then subtract the sum of 4 and 23."
((45 * 7) - (4 + 23)) - (23 + 37),"multiply 45 by 7, then subtract the sum of 4 and 23, then subtract the sum of 23 and 37."
((45 * 7) - (4 + 23)) + (10 * 3),"multiply 45 by 7, then subtract the sum of 4 and 23, then add the product of 10 and 3."
((45 * 7) - (4 + 23)) - (3 * 11),"multiply 45 by 7, then subtract the sum of 4 and 23, then subtract the product of 3 and 11."
((45 * 7) - (4 + 23)) * 10,"multiply 45 by 7, then subtract the sum of 4 and 23, then multiply that by 10."
((45 * 7) - (4 + 23)) * (10 + 8),"multiply 45 by 7, then subtract the sum of 4 and 23, then multiply that by the sum of 10 and 8."
((45 * 7) - (4 + 23)) - (25 - 41),"multiply 45 by 7, then subtract the sum of 4 and 23, then subtract the difference of 25 and 41."
((45 * 7) - (4 + 23)) + (5 + 29 + 20),"multiply 45 by 7, then subtract the sum of 4 and 23, then add the sum of 5, 29, and 20."
((45 * 7) - (4 + 23)) - (2 * 3),"multiply 45 by 7, then subtract the sum of 4 and 23, then subtract the product of 2 and 3."
((45 * 7) - (4 + 23)) * (17 + 7),"multiply 45 by 7, then subtract the sum of 4 and 23, then multiply that by the sum of 17 and 7."
26 + 39 + 18 + 22 + 34,"add 26, 39, 18, 22, and 34."
(26 + 39 + 18 + 22 + 34) - (3 * 6),"add 26, 39, 18, 22, and 34, then subtract the product of 3 and 6."
(26 + 39 + 18 + 22 + 34) + (20 - 3),"add 26, 39, 18, 22, and 34, then add the difference of 20 and 3)."
(26 + 39 + 18 + 22 + 34) * 7,"add 26, 39, 18, 22, and 34, then multiply that by 7."
(26 + 39 + 18 + 22 + 34) + (19 + 26 + 12),"add 26, 39, 18, 22, and 34, then add the sum of 19, 26, and 12."
(26 + 39 + 18 + 22 + 34) - (38 + 33),"add 26, 39, 18, 22, and 34, then subtract the sum of 38 and 33."
(26 + 39 + 18 + 22 + 34) + (40 + 30),"add 26, 39, 18, 22, and 34, then add the sum of 40 and 30."
(26 + 39 + 18 + 22 + 34) + (14 - 33),"add 26, 39, 18, 22, and 34, then add the difference of 14 and 33)."
(26 + 39 + 18 + 22 + 34) - 6,"add 26, 39, 18, 22, and 34, then subtract 6."
(26 + 39 + 18 + 22 + 34) - (17 + 50),"add 26, 39, 18, 22, and 34, then subtract the sum of 17 and 50."
(33 * (5 + 33)) - 1,"add 5 and 33, multiply that by 33, then subtract 1."
((33 * (5 + 33)) - 1) + (27 + 17 + 27),"add 5 and 33, multiply that by 33, then subtract 1, then add the sum of 27, 17, and 27."
((33 * (5 + 33)) - 1) + (5 * 3),"add 5 and 33, multiply that by 33, then subtract 1, then add the product of 5 and 3."
((33 * (5 + 33)) - 1) + (22 - 32),"add 5 and 33, multiply that by 33, then subtract 1, then add the difference of 22 and 32)."
